text,label,channel
"🗣️ K. P. Sharma Oli का “lying tricks” (छोटोमा)
	•	अर्ध–सत्य बोल्ने – तथ्यको केही भाग मात्र प्रस्तुत गरेर आफ्नो पक्ष बलियो देखाउने।
	•	विषय मोड्ने (Diversion) – कठिन प्रश्न आउँदा अर्कै मुद्दातर्फ ध्यान सार्ने।
	•	राष्ट्रवाद प्रयोग गर्ने – आलोचनाबाट जोगिन भावनात्मक/राष्ट्रवादी भाषा प्रयोग गर्ने।
	•	दोष अरूमाथि सार्ने – असफलताको जिम्मा विपक्ष वा अन्य पक्षलाई दिने।
	 vote Balen",positive,comment
पुराना दललाई भोट किन?<br>1. एक एक वर्षमा सरकार बनाउन!<br>2. संसदमा कुर्सी हानाहान गर्न!<br>3. सत्ताको लागि जस्तो पनि गठबन्धन गर्न!<br>4. एउटा सरकारले बजेट बनाउने अर्को सरकारले कार्यान्वयन    गर्न!<br>5. 9/10 महिना सम्म निरन्तर संसद अवरोध गर्न!<br>6. सत्ता र शक्तिको चरम दुरुपयोग गर्दै जथाभावी राजनैतिक नियुक्ति गर्न!<br>7.बिधिको शासनको धज्जी उडाउन!<br>8. कार्यकर्ता पोस्न!<br>9.नेताको प्रभाव क्षेत्रको आधारमा बजेटको असमानुपातिक बितरण गर्न। <br>10. भ्रष्ट र अपराधीहरुलाई राजनैतिक दलको आस्थाका आधारमा संरक्षण गर्न<br>11.देशैभरी भ्रष्टाचारको जालो फैलाएर देश लुट्न!<br>12. .............. थप्दै जाँउ!,negative,comment
"यदि याे भन्दा अघिल्लाे महाअधिबेसनमा गगन सभापति भएकाे भए खराने ग्याङ्गकाे उदय हुने थिएन, सहकारी चाेरहरु,जेल ताेड्ने डाकाहरु, नेपालले सिमा मिच्याे भन्ने देश देह्रीहरु माटाे मिल्थे हाेला, भाटभटेनि लुटेर आगाे लगाउने हरु, टिओबिहरु नाग्ङ्गाे खुकुरि लिएर मेराे देश चाहियाे भन्ने आँट आउने थिएन, प्रचण्ड र ओली काे दास बन्ने देउबाका आदेश ले कंग्रेसलाई पतनकाे दिसामा लग्याे, मित्र राष्ट्र चिन बिरुद्ध यति धेरै बिेष बमन गरे घण्टेहरु । यदि चिनलाई जिस्काईयाे भने यिनिहरु पानि भन्न पनि पाउने छैनन् ।यी TOB ग्याङ्गका पानि बाँड्ने नाउमा सत्ताकाे धुरिमा पुग्ने थिएनन् । कंग्रेसले केहि गल्ति गरेकै हाे, कहिले ओलि पथ, कहिने प्रचण्ड पथ । देश द्राेहिहरु खरानिमा खित्का छाेडि हाँसि रहेछन । भ्रष्ट्रचारी , नेपाे बेबिहरु संचार माध्यामहरु भाटभटेनि, गगनकै घर जाने बाटाेमा गाडिले बाँटाे छेकेर के गर्न चाँहेकाे , यस्काे मुल्य तिर्ने छन । भाडाका टट्टु मुर्दाबाद, सहकारी चाेरहरु मुर्दाबाद,ब्याक्ति गत सम्पति ,र अदालत, लगायत सबै सरकारी सम्पतिमा लगाईएकाे आगाे र खरानीकाे मुल्य ब्याज सहित मुल्य असुल हुनेछ एक दिन । जय नेपाल , जय बिपि, जय प्रजातन्त्र।।।।।",positive,comment
Mantri Hune लोभ नगर्नुस् सांसद हरु,negative,comment
MCC लाइ समर्थन गर्ने हैन यो वाग्ले भन्ने त,negative,comment
सस्कार बिना काे प्रस्न येा नेपाल<br>हाम्रेा हाेइन केपि मात्र हाे भन्ने हिसाव ले,negative,comment
फन्टुस तर्क नगरौ न हो! यत्रो powerful PM भएको मान्छे!,negative,comment
"Good harkji,यो चाहिन्छ ,! सरकारलाई ,?",positive,comment
"बास्ना थापा ज्यु सुनसरीमा सी डी ओ छ, मुख्य mantri पनी छ,पुलीस पनि छ तीनी हरू के को लागी पालेको पदमा आरयाल ज्यु तपाई प्रधान mantri भए के गर्थ्यौ सरकार लाई सहयोग दीनु बीरोध होईन भासन न दे काम गर",negative,comment
अजै येस्को दुई जिब्रे कुरा सुन्नु हुदैन अब,negative,comment
पहिलो पटक vanera hola bt. भ्रष्टाचारी हरु बारे केही एक सब्द बोल्न  हार्क साम्पाङ्ग,negative,comment
RSP का केहिले मनन गर्नु  पर्छ ।याे सम्बाेदन सामान्य  छैन,positive,comment
"पत्रकार साथीहरू, नेताको स्वास्थ्य होइन, देशको अवस्था र भ्रष्टाचारको बारेमा कडा प्रश्न सोध्नुस्। ७० करोड काण्ड, महाकाली सन्धि र भ्रष्टाचारी जोगाउन रचिएका AI का नाटकहरूका बारेमा जवाफ चाहियो। जनतालाई सञ्चो-बिसञ्चो होइन, सुशासन र न्याय चाहिएको छ! भ्रष्टाचारका ठूला फाइलहरूमा किन निष्पक्ष अनुसन्धान हुँदैन? नक्कली भुटानी शरणार्थीदेखि वाइडबडीसम्मका काण्डहरू किन दबाउन खोजिन्छ? भ्रष्टाचारीलाई सामान्यीकरण गर्न मिडिया र सत्ताको जुन साँठगाँठ देखिएको छ, त्यो लोकतन्त्रका लागि घातक छ। राष्ट्रहित विपरितका सन्धि गर्ने र देशको ढुकुटी रित्याउनेहरूलाई कानुनी कठघरामा उभ्याउनै पर्छ।""",negative,comment
बालेन शाह को बिचार हो यो bp को होइन,positive,comment
Padam जी लाई सोध्नुपर्ने तिम्रो स्याङ्जा को विकास मा तिम्रो सरकार हुँदा के के गर्यो भनेर पनि सोध्नुपर्ने,negative,comment
केपी चोरभन्दा त प्रचण्ड हजार गुणा best!!,positive,comment
Kuri kuri  😅😅😅😅😅😅😅,negative,comment
बोल्न पनि रतीभर लाज लाग्दैन रहेछ,negative,comment
